,Audience Type,Fiscal Quarter,Fiscal Week Year,Country,BU,Audience ID Exists,Segment ID
354,1PD,2023-Q4,2023-W46,France,CSB,No ID,1
355,1PD,2023-Q4,2023-W46,Germany,CSB,No ID,1
356,1PD,2023-Q4,2023-W46,India,B2B,No ID,1
357,1PD,2023-Q4,2023-W46,India,CSB,No ID,1
358,1PD,2023-Q4,2023-W46,Japan,B2B,No ID,1
359,1PD,2023-Q4,2023-W46,Japan,CSB,No ID,2
360,1PD,2023-Q4,2023-W46,Malaysia,B2B,No ID,1
361,1PD,2023-Q4,2023-W46,Netherlands,CSB,No ID,1
362,1PD,2023-Q4,2023-W46,Singapore,B2B,No ID,1
363,1PD,2023-Q4,2023-W46,Spain,CSB,No ID,1
364,1PD,2023-Q4,2023-W46,Sweden,CSB,No ID,1
365,1PD,2023-Q4,2023-W46,Switzerland,CSB,No ID,1
366,1PD,2023-Q4,2023-W46,United Kingdom,CSB,No ID,1
367,1PD,2023-Q4,2023-W46,United States,B2B,No ID,1
368,1PD,2023-Q4,2023-W46,United States,CSB,No ID,2
369,1PD,2023-Q4,2023-W47,Australia,B2B,No ID,1
370,1PD,2023-Q4,2023-W47,Canada,B2B,No ID,1
371,1PD,2023-Q4,2023-W47,Canada,CSB,No ID,2
372,1PD,2023-Q4,2023-W47,France,CSB,No ID,1
373,1PD,2023-Q4,2023-W47,Germany,CSB,No ID,1
374,1PD,2023-Q4,2023-W47,India,B2B,No ID,1
375,1PD,2023-Q4,2023-W47,India,CSB,No ID,1
376,1PD,2023-Q4,2023-W47,Japan,B2B,No ID,1
377,1PD,2023-Q4,2023-W47,Japan,CSB,No ID,2
378,1PD,2023-Q4,2023-W47,Malaysia,B2B,No ID,1
379,1PD,2023-Q4,2023-W47,Netherlands,CSB,No ID,1
380,1PD,2023-Q4,2023-W47,Singapore,B2B,No ID,1
381,1PD,2023-Q4,2023-W47,Spain,CSB,No ID,1
382,1PD,2023-Q4,2023-W47,Sweden,CSB,No ID,1
383,1PD,2023-Q4,2023-W47,Switzerland,CSB,No ID,1
384,1PD,2023-Q4,2023-W47,United Kingdom,CSB,No ID,1
385,1PD,2023-Q4,2023-W47,United States,B2B,No ID,1
386,1PD,2023-Q4,2023-W47,United States,CSB,No ID,2
387,1PD,2023-Q4,2023-W48,Australia,B2B,No ID,1
388,1PD,2023-Q4,2023-W48,Canada,B2B,No ID,1
389,1PD,2023-Q4,2023-W48,Canada,CSB,No ID,2
390,1PD,2023-Q4,2023-W48,France,CSB,No ID,1
391,1PD,2023-Q4,2023-W48,Germany,CSB,No ID,1
392,1PD,2023-Q4,2023-W48,India,B2B,No ID,1
393,1PD,2023-Q4,2023-W48,India,CSB,No ID,1
394,1PD,2023-Q4,2023-W48,Japan,B2B,No ID,1
395,1PD,2023-Q4,2023-W48,Japan,CSB,No ID,2
396,1PD,2023-Q4,2023-W48,Malaysia,B2B,No ID,1
397,1PD,2023-Q4,2023-W48,Netherlands,CSB,No ID,1
398,1PD,2023-Q4,2023-W48,Singapore,B2B,No ID,1
399,1PD,2023-Q4,2023-W48,Spain,CSB,No ID,1
400,1PD,2023-Q4,2023-W48,Sweden,CSB,No ID,1
401,1PD,2023-Q4,2023-W48,Switzerland,CSB,No ID,1
402,1PD,2023-Q4,2023-W48,United Kingdom,CSB,No ID,1
403,1PD,2023-Q4,2023-W48,United States,B2B,No ID,1
404,1PD,2023-Q4,2023-W48,United States,CSB,No ID,2
405,1PD,2023-Q4,2023-W49,Australia,B2B,No ID,1
406,1PD,2023-Q4,2023-W49,Canada,B2B,No ID,1
407,1PD,2023-Q4,2023-W49,Canada,CSB,No ID,2
408,1PD,2023-Q4,2023-W49,France,CSB,No ID,1
409,1PD,2023-Q4,2023-W49,Germany,CSB,No ID,1
410,1PD,2023-Q4,2023-W49,India,B2B,No ID,1
